English,Thai
the,ที่
be,เป็น
and,และ
a,อัน
of,ของ
to,ถึง
in,ใน
i,ฉัน
you,คุณ
it,มัน
have,มี
to,ถึง
that,ที่
for,สำหรับ
do,ทำ
he,เขา
with,กับ
on,บน
this,นี้
n't,ไม่มี
we,เรา
that,ที่
not,ไม่
but,แต่
they,พวกเขา
say,พูด
at,ที่
what,อะไร
his,ของเขา
from,จาก
go,ไป
or,หรือ
by,โดย
get,รับ
she,เธอ
my,ของฉัน
can,สามารถ
as,เช่น
know,ทราบ
if,ถ้า
me,ฉัน
your,ของคุณ
all,ทั้งหมด
who,WHO
about,เกี่ยวกับ
their,ของพวกเขา
will,จะ
so,ดังนั้น
would,จะ
make,ทำ
just,แค่
up,ขึ้น
think,คิด
time,เวลา
there,ที่นั่น
see,ดู
her,ของเธอ
as,เช่น
out,ออก
one,หนึ่ง
come,มา
people,ประชากร
take,เอา
year,ปี
him,เขา
them,พวกเขา
some,บาง
want,ต้องการ
how,ยังไง
when,เมื่อไร
which,ที่
now,ตอนนี้
like,ชอบ
other,อื่น
could,สามารถ
our,ของเรา
into,เข้าไปข้างใน
here,ที่นี่
then,แล้ว
than,กว่า
look,ดู
way,ทาง
more,มากกว่า
these,เหล่านี้
no,เลขที่
thing,สิ่ง
well,ดี
because,เพราะ
also,อีกด้วย
two,สอง
use,ใช้
tell,บอก
good,ดี
first,อันดับแรก
man,ผู้ชาย
day,วัน
find,หา
give,ให้
more,มากกว่า
new,ใหม่
one,หนึ่ง
us,เรา
any,ใดๆ
those,เหล่านั้น
very,มาก
her,ของเธอ
need,ความต้องการ
back,กลับ
there,ที่นั่น
should,ควร
even,สม่ำเสมอ
only,เท่านั้น
many,มากมาย
really,จริงหรือ
work,งาน
life,ชีวิต
why,ทำไม
right,ขวา
down,ลง
on,บน
try,พยายาม
let,อนุญาต
something,บางสิ่งบางอย่าง
too,ด้วย
call,เรียก
woman,ผู้หญิง
may,อาจ
still,นิ่ง
through,ผ่าน
mean,หมายถึง
after,หลังจาก
never,ไม่เคย
no,เลขที่
world,โลก
in,ใน
feel,รู้สึก
yeah,ใช่
great,ยอดเยี่ยม
last,ล่าสุด
child,เด็ก
oh,โอ้
over,เกิน
ask,ถาม
when,เมื่อไร
as,เช่น
school,โรงเรียน
state,สถานะ
much,มาก
talk,พูดคุย
out,ออก
keep,เก็บ
leave,ออกจาก
put,ใส่
like,ชอบ
help,ช่วย
big,ใหญ่
where,ที่ไหน
same,เดียวกัน
all,ทั้งหมด
own,เป็นเจ้าของ
while,ในขณะที่
start,เริ่ม
three,สาม
high,สูง
every,ทั้งหมด
another,อื่น
become,กลายเป็น
most,ที่สุด
between,ระหว่าง
happen,เกิดขึ้น
family,ตระกูล
over,เกิน
president,ประธาน
old,เก่า
yes,ใช่
house,บ้าน
show,แสดง
again,อีกครั้ง
student,นักเรียน
so,ดังนั้น
seem,ดูเหมือน
might,อาจ
part,ส่วนหนึ่ง
hear,ได้ยิน
its,ของมัน
place,สถานที่
problem,ปัญหา
where,ที่ไหน
believe,เชื่อ
country,ประเทศ
always,เสมอ
week,สัปดาห์
point,จุด
hand,มือ
off,ปิด
play,เล่น
turn,เปลี่ยน
few,น้อย
group,กลุ่ม
such,เช่น
against,ขัดต่อ
run,วิ่ง
guy,ผู้ชาย
about,เกี่ยวกับ
case,กรณี
question,คำถาม
work,งาน
night,กลางคืน
live,สด
game,เกม
number,ตัวเลข
write,เขียน
bring,นำมา
without,ปราศจาก
money,เงิน
lot,มาก
most,ที่สุด
book,หนังสือ
system,ระบบ
government,รัฐบาล
next,ต่อไป
city,เมือง
company,บริษัท
story,เรื่องราว
today,วันนี้
job,งาน
move,เคลื่อนไหว
must,ต้อง
bad,แย่
friend,เพื่อน
